Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
9.8,0.00446897603770286,-0.00182056615458329,0.022491408015144,27.1352370357609,-126.582771464644,-0.00613865519564882,-0.00482557849856709,0.00271684646050934,-77.9007606817397
10,0.0044870802612198,-0.00203979896477312,0.0234700193719538,-8.3072713010166,-116.21279018208,-0.00348673739106253,-0.00492896222394023,0.00171467247532102,-94.0887353681233
10.2,0.00443639822281466,-0.00223404010383386,0.0238400656978006,-47.9231029608927,-99.030104792635,-0.000150643855612032,-0.00496714846264029,7.84543510939903e-05,-115.823481436733
10.4,0.00431487859525054,-0.0023929286936309,0.0235280752465279,-85.633121330884,-77.3569614263434,0.00321815727545527,-0.00493399276906571,-0.00159780789216463,-137.906815670655
10.6,0.00413115207797978,-0.00251138128657076,0.0225950566614642,-115.876563690113,-54.6612276731277,0.0059590518862791,-0.00483460995431392,-0.00266487192644529,-154.745837099155
10.8,0.00390271601349688,-0.00259112397576751,0.0212194393163919,-134.546721943013,-34.9355423975479,0.00758477027471827,-0.00468456139291016,-0.00312625410295527,-165.444375238466
11,0.00365266139287523,-0.00264095807530324,0.0196497059280609,-139.643701965774,-21.9308533746116,0.00789155325202273,-0.00450739331559461,-0.0031986960390484,-171.074678170707
11.2,0.00340556152155592,-0.0026756266081081,0.0181458182938755,-131.536390746667,-18.3911821222286,0.00695945388235941,-0.0043309152511442,-0.00300225649454743,-172.040605683648
11.4,0.00318327242091633,-0.00271342211203862,0.0169304030623068,-112.798855878002,-25.4419722086011,0.00506206006338061,-0.00418280796714182,-0.00250824524780669,-167.289533856162
11.6,0.00300138719894464,-0.00277293245953864,0.0161621128092639,-87.6641825888654,-42.2600269270956,0.00254695819219819,-0.00408625494975077,-0.00149950663666037,-154.262809024906
11.8,0.00286694478910495,-0.00286950957634809,0.0159301889491355,-61.2068240557066,-66.1028341379576,-0.0002479437520293,-0.00405628614173903,0.000157691588522047,-132.797633376595
12,0.00277774686102235,-0.00301212721526649,0.0162592186605682,-38.4105501722018,-92.7081345141182,-0.00301163387327108,-0.00409741237022867,0.00171951684721256,-112.505055270475
12.2,0.00272333330503314,-0.003201249158143,0.0171119139214118,-23.2949954334568,-117.003471597271,-0.00543002000243575,-0.00420292041288189,0.00260785797297385,-101.260154604895
12.4,0.0026873639034094,-0.00342816315334276,0.0183854673224142,-18.2573497904525,-134.003791019459,-0.00716148240737269,-0.0043559415976858,0.00303399311545979,-97.7584940174511
12.6,0.00265090761654841,-0.00367597679477225,0.0199079085841495,-23.7407209261714,-139.735016068145,-0.00786669146660302,-0.0045321205125721,0.00318002271908793,-99.6423736387053
12.8,0.00259599544892194,-0.00392216619065899,0.0214470613348068,-38.2762145212713,-132.011117556167,-0.00730253900371736,-0.00470346466730487,0.00304409012071233,-106.169352675521
13,0.00250877230989248,-0.00414227338442944,0.0227417736662884,-58.8744030200471,-110.914200727192,-0.00544079290595789,-0.00484276435340567,0.00248252930617215,-117.959824142902
13.2,0.00238168776021101,-0.00431412013329095,0.02355376883402,-81.6772036645737,-78.8781157824587,-0.00254399317333309,-0.00492788682026188,0.00128369805647203,-135.998781464131
13.4,0.00221437153281471,-0.00442178854430167,0.0237254549506037,-102.735334124896,-40.3470660192248,0.00085674730361518,-0.00494526590374614,-0.000444742193910272,-158.558662530624
13.6,0.00201310505723801,-0.00445863792348153,0.0232223286554314,-118.757712275459,-1.058704088069,0.0040902030664256,-0.00489203880842099,-0.001973278674695,-179.48923174784
13.8,0.00178907245700803,-0.00442878169512351,0.0221426113531888,-127.690340758927,32.9282118179061,0.00653240320747273,-0.00477649318773349,-0.00283829272870934,165.53985941907
14,0.00155580115450185,-0.00434671269384997,0.0206900715044061,-129.020490913962,56.2917073297951,0.00777394272182619,-0.00461675515903108,-0.00316421842137954,156.428331702191
14.2,0.0013263408776297,-0.00423509285072234,0.019121371374354,-123.759340867715,65.4007082841863,0.00769908620189597,-0.0044379265012142,-0.00315140627171266,152.145756986669
14.4,0.00111075611798261,-0.00412105506358626,0.0176886828814296,-114.121063579258,58.9911414497461,0.00645538668577217,-0.00426812299355627,-0.00287909449501557,152.664779520558
14.6,0.000914418961909002,-0.00403163995547324,0.0165968464287203,-102.975890419622,38.4370824183455,0.00434809660447399,-0.00413403944044097,-0.00226653487793176,159.531261005173
14.8,0.000737407135513609,-0.00398915700381641,0.0159836848429371,-93.1973357206308,7.56126213375907,0.00172591145570777,-0.00405674040714844,-0.00105757941519783,175.36165292436
15,0.0005750745538323,-0.00400728614262591,0.0159189251007203,-87.0414819530484,-27.9883816919173,-0.00108388634251355,-0.00404833949948151,0.00067922620141827,-162.17469022052
15.2,0.000419617358925018,-0.00408861576258489,0.0164093505511611,-85.6859331099163,-61.6909240221084,-0.00377471397877116,-0.00411009213860008,0.00204838288390646,-144.247410924371
15.4,0.000262256596210139,-0.00422406627619248,0.0173996196443952,-89.0202425681209,-87.2680564363232,-0.00602627125380195,-0.00423219971312602,0.00276975508167812,-135.569462437922
15.6,9.55393257918691e-05,-0.00439431863765836,0.018767461176396,-95.7258215974687,-99.7669400429026,-0.00749203777495211,-0.00439535708476638,0.00310466065116378,-133.815781932824
15.8,-8.47539263287245e-05,-0.00457301345994084,0.0203222450305804,-103.622540296749,-96.4186851573117,-0.00784885670321955,-0.00457379873971048,0.00317718934861572,-137.062435919583
16,-0.00027851436862731,-0.004731172427246,0.0218196869366424,-110.203749454795,-77.1199728015344,-0.00690384563758073,-0.00473936310923201,0.00294080436932371,-145.015884493776
16.2,-0.000481261746482593,-0.00484207637187434,0.0229997252177145,-113.242448944247,-44.4521009636333,-0.00470784636011956,-0.00486593427765836,0.00221725876800825,-158.568046265412
