Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s]
143,6378277.29209672,-465.128770261592,133.613222751077,1.13748107119291,6.42188338673719,-11.999376195044
144,6378282.70723844,-459.902132487354,122.612517047139,0.9835988135893,6.04273396006828,-11.4629919523611
145,6378281.16516482,-454.983639629263,111.561139933093,1.00517759709292,4.95637802434554,-10.9942465198307
146,6378282.36193751,-446.774754594925,101.122695436863,0.984116873851779,4.13184645805818,-10.2774176252592
147,6378285.87299402,-448.903530162401,92.7054791707379,0.863740492393292,2.38876142442576,-9.82049299852109
148,6378282.49120984,-447.562371063336,81.5072914762583,1.00118069271265,0.912650848293783,-9.28619768496587
149,6378284.92594092,-442.842226141587,70.9643390754919,0.996777596855148,-0.489843284350529,-8.81237791824526
150,6378287.19294301,-447.756268724501,65.4756755604049,1.03669729547785,-2.71982961100526,-8.67786510381123
151,6378287.11275575,-452.751169325211,54.698070763998,0.944930838257793,-4.43632143718131,-8.58941121198788
152,6378288.38024251,-454.087760429343,46.5061007646015,1.01357524627836,-6.41439854286116,-8.68063278668956
153,6378290.4985449,-461.502415262735,36.2887439217647,0.854400591913964,-7.78323151396884,-8.54094492977261
154,6378291.65630401,-475.592892110934,29.1709559855828,1.00486392595562,-8.71178545859059,-8.93041563323986
155,6378290.35244242,-476.072306380687,20.4812869691934,1.03609676280061,-9.84386917357116,-9.17215063886047
156,6378291.00831768,-490.856902649148,8.89561066070609,1.2275157963487,-10.1269093490488,-9.76478218023879
157,6378294.12436405,-497.507196435671,0.709897031479837,1.17814515053626,-10.3067288565714,-9.72937738351882
158,6378295.06740106,-510.474734472326,-9.42588644195469,0.768798766386963,-9.36094105276587,-10.501250937032
159,6378294.20960983,-520.392446108969,-20.1722152396901,0.994403884775419,-8.98372576513656,-10.7075778201103
160,6378293.99403042,-524.950896548746,-30.1281284354113,0.923414096105992,-7.743964894946,-11.1276562085474
161,6378295.86961317,-535.541880274664,-43.1228004013325,0.849343597272565,-6.40388984434948,-11.2664927873774
162,6378297.45556263,-537.089149958139,-54.2748868043323,0.905336348913917,-4.3896837187789,-11.3192962745244
163,6378299.37695915,-540.065936734181,-65.7151135604923,1.11042896037232,-2.4303944176173,-11.260654048806
164,6378302.39039262,-544.052800830303,-77.0088070451564,0.984141559087579,-0.385197456223438,-11.170143438373
165,6378301.45668496,-542.709352475531,-89.5181742940518,1.06728641192361,1.56100735615246,-11.0641870210239
166,6378302.86651864,-538.997082259303,-95.8539693210213,1.04973749817372,3.94970837931586,-10.3615966867937
167,6378304.80847049,-537.007410740874,-107.147351197414,1.15192760928209,6.54520798656322,-9.9554410342621
168,6378307.26947735,-527.107940587626,-115.924119175049,1.05797288740537,8.13671065604672,-9.41359150473174
169,6378305.00737958,-520.950722361237,-125.386861979006,1.02812518424228,9.57735987267273,-8.64235182692472
170,6378307.40626194,-509.131206383673,-135.779049050748,1.07940320339382,11.1134033790662,-8.11263242427474
171,6378307.22816335,-497.571063102786,-141.238307338629,0.946125252655195,11.4753977899267,-7.43330226408589
172,6378309.07431286,-485.179184858366,-150.863603567475,0.962564353057119,12.406734142168,-6.94227743808593
173,6378309.90449834,-472.232384859018,-155.128886555874,0.688645269029241,12.3821409785831,-6.22026725277456
174,6378311.83908883,-458.624676511708,-162.587695824801,1.0502178020391,12.3161999076276,-6.06929756427721
175,6378313.28122276,-447.167224249228,-169.435618767449,1.00527108547961,11.9592327103572,-5.90799711234868
176,6378314.10288224,-435.709017030395,-173.094145675908,0.956414481216729,11.1206636759836,-5.70515089318146
177,6378310.19435801,-427.541593115299,-180.739303414088,0.94315327478134,9.96522097393667,-5.97711358631349
178,6378315.65991313,-420.070259738889,-186.84006927791,1.05715799881892,8.30418262641332,-6.30507921124394
179,6378317.91206941,-410.809274230076,-190.957433680652,1.0223121470034,6.84255927015163,-6.92084886954515
180,6378319.88949748,-403.948719333592,-199.118821306459,0.958010535488632,5.2575037170347,-7.72967655033315
181,6378319.99807013,-400.437634484421,-207.031575963348,1.05710007899414,3.50029511414147,-8.36414074974391
182,6378318.30089043,-395.960681328652,-215.682283549331,1.08507420147026,2.27283970003264,-9.07835780193065
183,6378319.41712166,-396.734777641509,-224.792341728265,0.890631927090746,0.250664362249833,-9.99421715741168
184,6378320.37489121,-393.772952367525,-234.737624509116,1.10670916503474,-0.721456752722514,-11.1080571295352
185,6378322.89917723,-396.166590947867,-249.53829483794,0.968527479681923,-1.32237598502476,-12.1024409524472
186,6378323.24380837,-400.455738118426,-261.773809834362,1.12325109697436,-2.18601769170661,-12.8383973569608
187,6378324.45520132,-399.071227108622,-273.587090614726,0.882571514825395,-2.33791582740249,-13.4289497668116
188,6378324.08452808,-403.608550485448,-286.843720500187,0.95549738889569,-2.20675220971316,-13.6836349407037
189,6378325.48047345,-408.499449624382,-300.155630760706,0.971215658624482,-1.7103539981366,-13.9147491632792
190,6378325.43670543,-404.637247395243,-315.187478422681,0.848901480573764,-1.09513705195564,-13.9836754242401
