Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
65,6378202,139.369123821183,502.021862087436,0.999999992888073,-7.61302773151695,11.531160208328,-0.00470954212083231,4.14246434600254,-33.433588286888
66,6378203,131.43463142238,513.035077762982,0.999999992888077,-8.26069540294728,10.4354122072396,-0.00478755549689982,4.29978113402139,-38.3655011668821
67,6378204,122.844557087245,522.779495043291,0.999999992888073,-8.91792934657956,9.00058689331475,-0.00485488683038002,4.51523172852869,-44.7360228064077
68,6378205,113.607826541981,530.939497543271,0.999999992888075,-9.54810734098163,7.2759287365779,-0.00490885999019791,4.76400427866156,-52.6919404565502
69,6378206,103.768577211195,537.25531141822,0.999999992888075,-10.1177461401777,5.32348909837457,-0.00494733075994578,5.00025308627446,-62.2491485493623
70,6378207,93.4021065492915,541.534552553935,0.999999992888076,-10.5982827038113,3.21551867652593,-0.00496877198698067,5.15990406228805,-73.1226492455338
71,6378208,82.609186100278,543.660921904911,0.999999992888075,-10.9675475943609,1.03139224631762,-0.00497233520437363,5.18667644011022,-84.6281339354645
72,6378209,71.5090877985422,543.599647298643,0.999999992888075,-11.2108563732202,-1.14579911031162,-0.00495788392823852,5.0698340848475,-95.8360473726668
73,6378210,60.2317330544606,541.399413598346,0.999999992888076,-11.3216656288166,-3.23283741817711,-0.00492599960061109,4.85270694727963,-105.936779780839
74,6378211,48.9094170039684,537.190678997134,0.999999992888076,-11.3017636683145,-5.14998915838307,-0.00487795830481176,4.60090403333387,-114.498152902238
75,6378212,37.6685779384139,531.180436322343,0.999999992888075,-11.1609906939445,-6.82447727863261,-0.00481567980972815,4.36841455336384,-121.444334901225
76,6378213,26.6220746117356,523.643637216527,0.999999992888036,-10.9165081944922,-8.19365838033962,-0.00474165099551847,4.18715642000578,-126.891244343097
77,6378214,15.862402365177,514.91164666764,0.999999992888036,-10.5916610391706,-9.20776250121638,-0.00465882679806031,4.07245505148327,-131.002006124516
78,6378215,5.45622458131773,505.358228737051,0.999999992888037,-10.2144971543294,-9.83207234605911,-0.0045705120524383,4.03138979949394,-133.90734101652
79,6378216,-4.55947820076565,495.383675366831,0.999999992888036,-9.81602760510335,-10.0484439005646,-0.00448023006703049,4.06874036822432,-135.670560601168
80,6378217,-14.1794291848656,485.397773742427,0.999999992888036,-9.42832348289921,-9.8560999467103,-0.00439158142451347,4.19013738298484,-136.270983597072
81,6378218,-23.4301350147172,475.802360005024,0.999999992888036,-9.08255452660336,-9.27166072729763,-0.00430810070466762,4.40284118512102,-135.590549532848
82,6378219,-32.3680199690234,466.974225745951,0.999999992888037,-8.80707744816726,-8.32841037927247,-0.0042331153831907,4.71347889321227,-133.400170810754
83,6378220,-41.0757174962501,459.24912781719,0.999999992888036,-8.62567933756233,-7.07483219059866,-0.00416961301949488,5.11984822638689,-129.359111188204
84,6378221,-49.6567237006743,452.907602287698,0.999999992888035,-8.55607341956079,-5.57247865211697,-0.00412012187601167,5.5916335478008,-123.076125658286
85,6378222,-58.228708464852,448.163202148523,0.999999992888037,-8.6087312362402,-3.89327216191407,-0.00408661054617094,6.04053613532442,-114.335128248011
86,6378223,-66.9158554897992,445.153669350453,0.999999992888036,-8.78611770416289,-2.11635772548711,-0.00407040881642456,6.31379866799815,-103.543585893247
87,6378224,-75.8406586568402,443.935419948731,0.999999992888036,-9.08237433894853,-0.324648914992257,-0.00407215536864023,6.27970940245595,-92.0476067384147
88,6378225,-85.1156357579729,444.481572572681,0.999999992888036,-9.48347232835133,1.39877820102949,-0.00409177146065526,5.95678268837812,-81.6099771094891
89,6378226,-94.8354299427476,446.683591934556,0.999999992888036,-9.96783227104929,2.97428207463042,-0.00412846517346207,5.49318505546095,-73.3858739548105
90,6378227,-105.069753568828,450.356457884681,0.999999992888036,-10.5073825522807,4.32908354108744,-0.00418076234520667,5.0312299861196,-67.6084433174095
91,6378228,-115.857589177665,455.247113958205,0.999999992888037,-11.069004772875,5.40037269588576,-0.00424656566876991,4.64465313291184,-63.9933294977027
92,6378229,-127.202999951857,461.045804556738,0.999999992888035,-11.6162935984561,6.13795811025284,-0.00432323880227387,4.35556617696426,-62.1486196740212
93,6378230,-139.072820310062,467.399783416887,0.999999992888035,-12.1115409426259,6.50634303037608,-0.00440771111339864,4.16318804022318,-61.7554506274108
94,6378231,-151.396400330274,473.928773522361,0.999999992888038,-12.5178414572813,6.48613968783427,-0.00449660071634134,4.06036096833962,-62.6092206432075
95,6378232,-164.067470341484,480.241484676027,0.999999992888035,-12.8012085674461,6.07476325310898,-0.00458634925357108,4.04010978812672,-64.6137383768052
96,6378233,-176.94807973198,485.952452788373,0.999999992888035,-12.9325881909227,5.28637987292903,-0.00467336384741951,4.09711070977428,-67.7672588273683
97,6378234,-189.874452528632,490.698456306454,0.999999992888035,-12.8896609772525,4.1511171182379,-0.00475416071978306,4.22640919971605,-72.1491120569324
98,6378235,-202.664497351886,494.153790296356,0.999999992888036,-12.6583332476938,2.71357846587009,-0.00482550395216668,4.41972377816461,-77.9008839629231
99,6378236,-215.126616410546,496.043736141156,0.999999992888035,-12.2338313951181,1.03073461195825,-0.00488453454116834,4.65887591429601,-85.1843948287728
100,6378237,-227.069382175123,496.155651778809,0.999999992888036,-11.6213336209037,-0.830707958002461,-0.00492888450871503,4.90736849581832,-94.0890189510679
101,6378238,-238.311595356581,494.347219688943,0.999999992888035,-10.8360956235286,-2.79733789164477,-0.00495677134397773,5.10704826538136,-104.475319824625
102,6378239,-248.692206896568,490.551522109541,0.999999992888036,-9.90305210039882,-4.79232913367417,-0.00496706862995446,5.19372063985253,-115.823926840768
103,6378240,-258.079581741432,484.778759000832,0.999999992888037,-8.85590243598553,-6.73883965120188,-0.00495935123421605,5.13405543816486,-127.269517320097
104,6378241,-266.379603834485,477.11457725787,0.999999992888036,-7.73571540734229,-8.56336461921359,-0.0049339118828275,4.95098580306441,-137.907323910323
105,6378242,-273.542169300251,467.715132516633,0.999999992888037,-6.58911281576607,-10.1988936575966,-0.00489174958465559,4.70587344151636,-147.135411755607
106,6378243,-279.565686187851,456.799150572796,0.999999992888036,-5.46611438062134,-11.5877322914675,-0.00483452921461022,4.46023766498625,-154.746330703391
107,6378244,-284.499291150558,444.637387297679,0.999999992888037,-4.41774485832716,-12.6838647276749,-0.0047645153314667,4.2550617202964,-160.797233202816
108,6378245,-288.44260176132,431.539998048124,0.999999992888036,-3.49351820402436,-13.454757462949,-0.00468448172375572,4.11151578603036,-165.444858290873
109,6378246,-291.542942634117,417.842414951452,0.999999992888037,-2.73892193029555,-13.882530072305,-0.00459760033805113,4.03921170381651,-168.83952862217
110,6378247,-293.990108357344,403.890389323276,0.999999992888037,-2.19302715680664,-13.9644494802659,-0.00450731520481018,4.04335610154719,-171.075185644618
